Date,Price,Open,High,Low,Change %
19-Sep-19,1.1041,1.1029,1.1074,1.1022,0.10%
18-Sep-19,1.103,1.1072,1.1076,1.1013,-0.39%
17-Sep-19,1.1073,1.1,1.1076,1.099,0.65%
16-Sep-19,1.1002,1.1087,1.1093,1.0994,-0.66%
13-Sep-19,1.1075,1.1064,1.1111,1.1055,0.11%
12-Sep-19,1.1063,1.1011,1.1088,1.0927,0.48%
11-Sep-19,1.101,1.1043,1.1056,1.0984,-0.30%
10-Sep-19,1.1043,1.1045,1.1059,1.103,-0.05%
9-Sep-19,1.1048,1.1024,1.1069,1.1016,0.17%
6-Sep-19,1.1029,1.1035,1.1058,1.102,-0.05%
5-Sep-19,1.1035,1.1037,1.1086,1.1017,0.00%
4-Sep-19,1.1035,1.0974,1.1038,1.0969,0.56%
3-Sep-19,1.0974,1.097,1.098,1.0926,0.05%
2-Sep-19,1.0968,1.099,1.1,1.0958,-0.21%
30-Aug-19,1.0991,1.1058,1.1062,1.0963,-0.60%
29-Aug-19,1.1057,1.1078,1.1093,1.1042,-0.19%
28-Aug-19,1.1078,1.109,1.1099,1.1072,-0.12%
27-Aug-19,1.1091,1.1101,1.1116,1.1084,-0.10%
26-Aug-19,1.1102,1.1147,1.1166,1.1094,-0.38%
23-Aug-19,1.1144,1.1079,1.1154,1.1051,0.59%
22-Aug-19,1.1079,1.1084,1.1114,1.1063,-0.05%
21-Aug-19,1.1085,1.11,1.1109,1.1081,-0.14%
20-Aug-19,1.11,1.1079,1.1107,1.1065,0.20%
19-Aug-19,1.1078,1.1092,1.1115,1.1076,-0.11%
16-Aug-19,1.109,1.1106,1.1113,1.1066,-0.15%
15-Aug-19,1.1107,1.1138,1.1159,1.109,-0.29%
14-Aug-19,1.1139,1.117,1.1191,1.113,-0.29%
13-Aug-19,1.1171,1.1214,1.1229,1.1171,-0.38%
12-Aug-19,1.1214,1.1204,1.1232,1.1162,0.12%
9-Aug-19,1.12,1.1181,1.1224,1.118,0.18%
8-Aug-19,1.118,1.1199,1.1233,1.1177,-0.17%
7-Aug-19,1.1199,1.1199,1.1243,1.118,-0.01%
6-Aug-19,1.12,1.1203,1.1251,1.1168,-0.02%
5-Aug-19,1.1202,1.1101,1.1213,1.1101,0.84%
2-Aug-19,1.1109,1.1087,1.1118,1.107,0.22%
1-Aug-19,1.1085,1.1076,1.1097,1.1027,0.08%
31-Jul-19,1.1076,1.1155,1.1163,1.1059,-0.71%
30-Jul-19,1.1155,1.1144,1.1162,1.1132,0.10%
29-Jul-19,1.1144,1.1126,1.1151,1.1112,0.15%
26-Jul-19,1.1127,1.1147,1.1152,1.1112,-0.18%
25-Jul-19,1.1147,1.1142,1.1189,1.1102,0.05%
24-Jul-19,1.1141,1.1152,1.116,1.1127,-0.11%
23-Jul-19,1.1153,1.121,1.1211,1.1146,-0.51%
22-Jul-19,1.121,1.1218,1.1227,1.1206,-0.11%
19-Jul-19,1.1222,1.1277,1.1283,1.1204,-0.49%
18-Jul-19,1.1277,1.1224,1.1282,1.1205,0.47%
17-Jul-19,1.1224,1.121,1.1234,1.1199,0.12%
16-Jul-19,1.1211,1.1258,1.1265,1.1202,-0.42%
15-Jul-19,1.1258,1.1268,1.1285,1.1252,-0.12%
12-Jul-19,1.1271,1.1254,1.1277,1.1238,0.15%
11-Jul-19,1.1254,1.1251,1.1287,1.1245,0.03%
10-Jul-19,1.1251,1.1208,1.1265,1.1202,0.38%
9-Jul-19,1.1208,1.1215,1.1221,1.1194,-0.06%
8-Jul-19,1.1215,1.1221,1.1235,1.1205,-0.10%
5-Jul-19,1.1226,1.1285,1.1289,1.1207,-0.52%
4-Jul-19,1.1285,1.1277,1.1296,1.1272,0.06%
3-Jul-19,1.1278,1.1284,1.1311,1.1268,-0.06%
