day,open,close
390,2.770000,2.790000
391,2.800000,2.770000
392,2.770000,2.780000
393,2.780000,2.750000
394,2.770000,2.770000
395,2.770000,2.770000
396,2.770000,2.760000
397,2.750000,2.770000
398,2.760000,2.760000
399,2.760000,2.750000
400,2.760000,2.720000
401,2.710000,2.750000
402,2.750000,2.720000
403,2.720000,2.710000
404,2.710000,2.670000
405,2.680000,2.680000
406,2.670000,2.690000
407,2.680000,2.690000
408,2.710000,2.720000
409,2.720000,2.690000
410,2.690000,2.700000
411,2.720000,2.710000
412,2.720000,2.690000
413,2.700000,2.690000
414,2.700000,2.680000
415,2.690000,2.680000
416,2.670000,2.670000
417,2.670000,2.680000
418,2.690000,2.680000
419,2.680000,2.700000
420,2.700000,2.700000
421,2.700000,2.730000
422,2.730000,2.730000
423,2.720000,2.720000
424,2.710000,2.710000
425,2.730000,2.730000
426,2.730000,2.730000
427,2.750000,2.740000
428,2.740000,2.720000
429,2.730000,2.720000
430,2.710000,2.700000
431,2.700000,2.690000
432,2.700000,2.680000
433,2.680000,2.700000
434,2.700000,2.720000
435,2.710000,2.690000
436,2.690000,2.680000
437,2.690000,2.700000
438,2.700000,2.700000
439,2.700000,2.690000
440,2.700000,2.690000
441,2.690000,2.680000
442,2.690000,2.680000
443,2.680000,2.650000
444,2.650000,2.650000
445,2.640000,2.640000
446,2.630000,2.590000
447,2.600000,2.590000
448,2.600000,2.590000
449,2.590000,2.620000
450,2.610000,2.620000
451,2.600000,2.600000
452,2.610000,2.590000
453,2.600000,2.620000
454,2.630000,2.630000
455,2.630000,2.670000
456,2.660000,2.630000
457,2.630000,2.630000
458,2.640000,2.630000
459,2.630000,2.640000
460,2.620000,2.600000
461,2.610000,2.610000
462,2.590000,2.640000
463,2.640000,2.620000
464,2.600000,2.610000
465,2.630000,2.640000
466,2.620000,2.610000
467,2.630000,2.640000
468,2.610000,2.590000
469,2.590000,2.600000
470,2.590000,2.600000
471,2.610000,2.590000
472,2.600000,2.590000
473,2.590000,2.580000
474,2.580000,2.570000
475,2.560000,2.570000
476,2.570000,2.590000
477,2.590000,2.590000
478,2.590000,2.600000
479,2.620000,2.620000
480,2.630000,2.690000
481,2.670000,2.720000
482,2.720000,2.700000
483,2.700000,2.730000
484,2.740000,2.740000
485,2.740000,2.790000
486,2.790000,2.750000
487,2.720000,2.740000
488,2.720000,2.750000
489,2.750000,2.730000
490,2.710000,2.710000
491,2.740000,2.720000
492,2.730000,2.750000
493,2.740000,2.770000
494,2.760000,2.710000
